1 64 64
8.554296125e-01 1.445703806e-01 1.131556503e+01 8.240148830e+01 
8.524518753e-01 1.475481244e-01 1.154226902e+01 8.203264420e+01 
8.432833126e-01 1.567166923e-01 1.219632289e+01 8.085298501e+01 
8.273307036e-01 1.726692966e-01 1.320146710e+01 7.866760785e+01 
8.036380506e-01 1.963619494e-01 1.446772071e+01 7.519533085e+01 
7.709963724e-01 2.290036299e-01 1.595225376e+01 7.015152801e+01 
7.282111482e-01 2.717888536e-01 1.774388842e+01 6.338611784e+01 
6.745973500e-01 3.254026503e-01 2.014050377e+01 5.505997363e+01 
6.106644309e-01 3.893355700e-01 2.364442324e+01 4.577730917e+01 
5.387203679e-01 4.612796338e-01 2.879048401e+01 3.653455719e+01 
4.629132168e-01 5.370867806e-01 3.582553479e+01 2.840817814e+01 
3.883859337e-01 6.116140616e-01 4.444544192e+01 2.212262884e+01 
3.198503262e-01 6.801496724e-01 5.383525219e+01 1.780531727e+01 
2.604054370e-01 7.395945626e-01 6.301126938e+01 1.509235652e+01 
2.111964467e-01 7.888035511e-01 7.119842317e+01 1.343771248e+01 
1.718250284e-01 8.281749701e-01 7.800628506e+01 1.237129069e+01 
1.410350274e-01 8.589649728e-01 8.338826185e+01 1.159526716e+01 
1.172916660e-01 8.827083338e-01 8.750425899e+01 1.096259214e+01 
9.912722015e-02 9.008727787e-01 9.059275038e+01 1.041819451e+01 
8.528927285e-02 9.147107271e-01 9.289155258e+01 9.949407189e+00 
7.477115415e-02 9.252288476e-01 9.460252259e+01 9.556753310e+00 
6.678860191e-02 9.332114002e-01 9.588294752e+01 9.240667776e+00 
6.073975886e-02 9.392602425e-01 9.684938736e+01 8.997339117e+00 
5.616559541e-02 9.438344055e-01 9.758566304e+01 8.818782178e+00 
5.271670507e-02 9.472832960e-01 9.815106096e+01 8.694402034e+00 
5.012734761e-02 9.498726536e-01 9.858726095e+01 8.612730508e+00 
4.819578020e-02 9.518042209e-01 9.892364535e+01 8.562801440e+00 
4.676953229e-02 9.532304684e-01 9.918111751e+01 8.535024045e+00 
4.573442821e-02 9.542655721e-01 9.937470979e+01 8.521595524e+00 
4.500643968e-02 9.549935605e-01 9.951527941e+01 8.516567428e+00 
4.452570906e-02 9.554742912e-01 9.961055577e+01 8.515697627e+00 
4.425228709e-02 9.557477132e-01 9.966575093e+01 8.516208350e+00 
4.416327858e-02 9.558367217e-01 9.968389054e+01 8.516546238e+00 
4.425120063e-02 9.557487995e-01 9.966597182e+01 8.516211928e+00 
4.452344489e-02 9.554765549e-01 9.961100969e+01 8.515698675e+00 
4.500280875e-02 9.549971906e-01 9.951599121e+01 8.516552998e+00 
4.572913015e-02 9.542708689e-01 9.937571841e+01 8.521544517e+00 
4.676213396e-02 9.532378649e-01 9.918247878e+01 8.534905656e+00 
4.818568490e-02 9.518143139e-01 9.892543679e+01 8.562573848e+00 
5.011375260e-02 9.498862460e-01 9.858958989e+01 8.612340493e+00 
5.269854410e-02 9.473014541e-01 9.815407737e+01 8.693786296e+00 
5.614146151e-02 9.438585365e-01 9.758957875e+01 8.817871149e+00 
6.070780090e-02 9.392921977e-01 9.685450368e+01 8.996063850e+00 
6.674638695e-02 9.332536127e-01 9.588969247e+01 9.238969711e+00 
7.471548765e-02 9.252845119e-01 9.461149781e+01 9.554595186e+00 
8.521597433e-02 9.147840236e-01 9.290358509e+01 9.946779959e+00 
9.903087044e-02 9.009691264e-01 9.060893453e+01 1.041510873e+01 
1.171653882e-01 8.828346091e-01 8.752595352e+01 1.095903120e+01 
1.408704570e-01 8.591295404e-01 8.341697389e+01 1.159106527e+01 
1.716127769e-01 8.283872183e-01 7.804333777e+01 1.236589332e+01 
2.109275268e-01 7.890724678e-01 7.124431519e+01 1.342982073e+01 
2.600740951e-01 7.399259018e-01 6.306479302e+01 1.507961194e+01 
3.194581507e-01 6.805418459e-01 5.389281113e+01 1.778444121e+01 
3.879457101e-01 6.120542837e-01 4.450136992e+01 2.209051219e+01 
4.624495556e-01 5.375504405e-01 3.587391276e+01 2.836382396e+01 
5.382648145e-01 4.617351860e-01 2.882765920e+01 3.648062182e+01 
6.102466273e-01 3.897533723e-01 2.367035892e+01 4.571968427e+01 
6.742374081e-01 3.257625905e-01 2.015793328e+01 5.500541498e+01 
7.279172589e-01 2.720827410e-01 1.775624789e+01 6.333969968e+01 
7.707672839e-01 2.292327167e-01 1.596206356e+01 7.011552031e+01 
8.034674153e-01 1.965325835e-01 1.447610714e+01 7.516959037e+01 
8.272108148e-01 1.727891847e-01 1.320848010e+01 7.865064318e+01 
8.432073904e-01 1.567926142e-01 1.220148221e+01 8.084295993e+01 
8.524151310e-01 1.475848687e-01 1.154502019e+01 8.202804652e+01 
8.463420033e-01 1.536580065e-01 1.198506400e+01 8.125346381e+01 
8.432650252e-01 1.567349837e-01 1.219753834e+01 8.085054262e+01 
8.337989162e-01 1.662010877e-01 1.281186816e+01 7.957165110e+01 
8.173582010e-01 1.826417987e-01 1.376170788e+01 7.723334815e+01 
7.930119332e-01 2.069880695e-01 1.497482499e+01 7.357721139e+01 
7.596114653e-01 2.403885373e-01 1.643421809e+01 6.835651089e+01 
7.160782524e-01 2.839217489e-01 1.825881518e+01 6.147446548e+01 
6.619077983e-01 3.380922010e-01 2.076879477e+01 5.315035439e+01 
5.978288242e-01 4.021711769e-01 2.446104424e+01 4.402680880e+01 
5.263309590e-01 4.736690426e-01 2.982282331e+01 3.508901473e+01 
4.516060118e-01 5.483939852e-01 3.702377745e+01 2.734497985e+01 
3.786545436e-01 6.213454521e-01 4.569488885e+01 2.142579771e+01 
3.119188169e-01 6.880811820e-01 5.500695493e+01 1.739071811e+01 
2.542256826e-01 7.457743168e-01 6.401292728e+01 1.485806356e+01 
2.065398416e-01 7.934601561e-01 7.199396038e+01 1.330192868e+01 
1.683930924e-01 8.316069063e-01 7.860504942e+01 1.228366783e+01 
1.385380741e-01 8.614619262e-01 8.382310954e+01 1.153072419e+01 
1.154861402e-01 8.845138595e-01 8.781359711e+01 1.091082511e+01 
9.782407256e-02 9.021759263e-01 9.081086830e+01 1.037568292e+01 
8.434818053e-02 9.156518196e-01 9.304537032e+01 9.915006453e+00 
7.409035809e-02 9.259096437e-01 9.471171358e+01 9.529785077e+00 
6.629504527e-02 9.337049569e-01 9.596130264e+01 9.220311580e+00 
6.038110676e-02 9.396188946e-01 9.690635036e+01 8.982571702e+00 
5.590428301e-02 9.440957180e-01 9.762763271e+01 8.808489365e+00 
