2 64 128
1.000000095e+00 -9.382574718e-08 1.528956191e+00 3.152896182e+01 
1.000000094e+00 -9.289669129e-08 1.530985639e+00 3.153099122e+01 
1.000000093e+00 -9.258762074e-08 1.537015208e+00 3.153702077e+01 
1.000000089e+00 -8.843788016e-08 1.546946227e+00 3.154695155e+01 
1.000000081e+00 -8.125560813e-08 1.560571901e+00 3.156057679e+01 
1.000000065e+00 -6.548890918e-08 1.577647263e+00 3.157765121e+01 
1.000000042e+00 -4.239666098e-08 1.597829399e+00 3.159783196e+01 
1.000000008e+00 -8.026394986e-09 1.620737829e+00 3.162073833e+01 
9.999999658e-01 3.375636035e-08 1.645970231e+00 3.164596822e+01 
9.999999169e-01 8.261413543e-08 1.673358436e+00 3.167335349e+01 
9.999998746e-01 1.249304826e-07 1.702951500e+00 3.170294402e+01 
9.999998457e-01 1.537766297e-07 1.734754743e+00 3.173474552e+01 
9.999998329e-01 1.666180687e-07 1.768528036e+00 3.176851805e+01 
9.999998093e-01 1.902393304e-07 1.803899439e+00 3.180388803e+01 
9.999997353e-01 2.642777214e-07 1.840266682e+00 3.184025083e+01 
9.999995464e-01 4.532892628e-07 1.876627555e+00 3.187660036e+01 
9.999991834e-01 8.163556238e-07 1.911792405e+00 3.191174343e+01 
9.999985553e-01 1.444666963e-06 1.944935761e+00 3.194484908e+01 
9.999974811e-01 2.518986188e-06 1.975564095e+00 3.197541296e+01 
9.999955246e-01 4.475658014e-06 2.002411721e+00 3.200214318e+01 
9.999918290e-01 8.171291975e-06 2.023035017e+00 3.202254473e+01 
9.999845909e-01 1.540933727e-05 2.034598607e+00 3.203367403e+01 
9.999696220e-01 3.037806317e-05 2.034294329e+00 3.203247163e+01 
9.999360235e-01 6.397618399e-05 2.018109831e+00 3.201427125e+01 
9.998532292e-01 1.467699691e-04 1.980829798e+00 3.197202359e+01 
9.996288979e-01 3.711006880e-04 1.914999118e+00 3.189273307e+01 
9.989717835e-01 1.028214505e-03 1.809246859e+00 3.174755399e+01 
9.969429535e-01 3.057044034e-03 1.642615495e+00 3.145919286e+01 
9.905265109e-01 9.473486205e-03 1.346689795e+00 3.077828063e+01 
9.704150292e-01 2.958496726e-02 6.395181517e-01 2.886442011e+01 
9.111732324e-01 8.882676321e-02 -9.855736203e-01 2.368482055e+01 
7.629157880e-01 2.370842076e-01 -2.179845307e+00 1.359510216e+01 
5.084434163e-01 4.915565794e-01 3.433926494e+00 3.940531550e+00 
2.734995525e-01 7.265004419e-01 1.594486330e+01 2.354836501e+00 
1.432499407e-01 8.567500543e-01 2.550891506e+01 4.103911529e+00 
8.237994420e-02 9.176200520e-01 2.985229990e+01 4.795096559e+00 
5.318796107e-02 9.468120360e-01 3.133281288e+01 4.524090539e+00 
3.850052004e-02 9.614994778e-01 3.161836957e+01 3.928400761e+00 
3.154716337e-02 9.684528352e-01 3.138162615e+01 3.274455948e+00 
2.951178203e-02 9.704882174e-01 3.091032312e+01 2.681030038e+00 
3.117626303e-02 9.688237373e-01 3.036068210e+01 2.231257871e+00 
3.631661129e-02 9.636833899e-01 2.980729155e+01 1.986288228e+00 
4.582259579e-02 9.541774062e-01 2.922265943e+01 1.972015170e+00 
6.227365538e-02 9.377263473e-01 2.842880886e+01 2.165228178e+00 
9.109647034e-02 9.089035329e-01 2.700595468e+01 2.471742892e+00 
1.426726264e-01 8.573273773e-01 2.416840945e+01 2.728767015e+00 
2.344020729e-01 7.655979313e-01 1.891069469e+01 2.974819025e+00 
3.837929888e-01 6.162070157e-01 1.136889095e+01 4.396470213e+00 
5.749886115e-01 4.250113928e-01 4.708675554e+00 9.207992153e+00 
7.429027190e-01 2.570972847e-01 1.901342391e+00 1.647550541e+01 
8.466705530e-01 1.533294504e-01 1.478746712e+00 2.227897975e+01 
8.964394462e-01 1.035605571e-01 1.400139296e+00 2.518650593e+01 
9.116428619e-01 8.835714097e-02 1.304899298e+00 2.600347089e+01 
9.005824173e-01 9.941758495e-02 1.335592009e+00 2.537053695e+01 
8.583843124e-01 1.416156890e-01 1.430888457e+00 2.293394715e+01 
7.692116194e-01 2.307883813e-01 1.768264781e+00 1.792096193e+01 
6.207165580e-01 3.792834423e-01 3.840376901e+00 1.108337039e+01 
4.392760611e-01 5.607239389e-01 9.337814586e+00 5.694378253e+00 
2.847156658e-01 7.152843339e-01 1.643246492e+01 3.515404869e+00 
1.838884442e-01 8.161115555e-01 2.190623427e+01 2.939540926e+00 
1.258861806e-01 8.741138193e-01 2.499629218e+01 2.549463016e+00 
9.403571313e-02 9.059642870e-01 2.644845219e+01 2.090594976e+00 
7.718665970e-02 9.228133406e-01 2.703786638e+01 1.669065959e+00 
6.912941212e-02 9.308705883e-01 2.723478080e+01 1.382545528e+00 
6.676147270e-02 9.332385279e-01 2.727618968e+01 1.281878036e+00 
6.913381075e-02 9.308661899e-01 2.723469568e+01 1.382724328e+00 
7.719719881e-02 9.228028019e-01 2.703756302e+01 1.669394948e+00 
9.405636610e-02 9.059436345e-01 2.644762717e+01 2.091009137e+00 
1.259244301e-01 8.740755705e-01 2.499438769e+01 2.549853499e+00 
1.839570866e-01 8.160429139e-01 2.190244836e+01 2.939873558e+00 
2.848305182e-01 7.151694824e-01 1.642649265e+01 3.516323738e+00 
4.394352014e-01 5.605647996e-01 9.331593499e+00 5.697705581e+00 
6.208729918e-01 3.791270092e-01 3.837045234e+00 1.108942476e+01 
7.693182594e-01 2.306817414e-01 1.767527472e+00 1.792662304e+01 
8.584404299e-01 1.415595714e-01 1.430789855e+00 2.293721562e+01 
9.006046597e-01 9.939534214e-02 1.335514264e+00 2.537179378e+01 
9.116412336e-01 8.835876854e-02 1.304937129e+00 2.600341106e+01 
8.964124971e-01 1.035875049e-01 1.400240395e+00 2.518499014e+01 
8.466048849e-01 1.533951168e-01 1.478812840e+00 2.227510587e+01 
7.427794501e-01 2.572205515e-01 1.902367563e+00 1.646913451e+01 
5.748165079e-01 4.251834937e-01 4.713028108e+00 9.202018518e+00 
3.836329796e-01 6.163670211e-01 1.137595116e+01 4.393929885e+00 
2.342953570e-01 7.657046432e-01 1.891666460e+01 2.974385990e+00 
1.426113712e-01 8.573886291e-01 2.417191224e+01 2.728594500e+00 
9.106240505e-02 9.089375956e-01 2.700771946e+01 2.471463753e+00 
6.225442253e-02 9.377455784e-01 2.842971804e+01 2.164983384e+00 
4.581148742e-02 9.541885138e-01 2.922323753e+01 1.971926767e+00 
3.631026816e-02 9.636897333e-01 2.980778947e+01 1.986405551e+00 
3.117324399e-02 9.688267577e-01 3.036118234e+01 2.231576975e+00 
2.951184564e-02 9.704881563e-01 3.091079906e+01 2.681509798e+00 
3.155093247e-02 9.684490696e-01 3.138197446e+01 3.275030410e+00 
3.850963807e-02 9.614903641e-01 3.161840649e+01 3.928984779e+00 
5.320616246e-02 9.467938398e-01 3.133217247e+01 4.524542224e+00 
8.241658732e-02 9.175834152e-01 2.985003604e+01 4.795031284e+00 
1.433283787e-01 8.566716243e-01 2.550294402e+01 4.102646739e+00 
2.736629199e-01 7.263370837e-01 1.593382035e+01 2.353595562e+00 
5.086890366e-01 4.913109658e-01 3.424447289e+00 3.945789567e+00 
7.631035332e-01 2.368964660e-01 -2.180655052e+00 1.360555707e+01 
9.112575644e-01 8.874243484e-02 -9.837533470e-01 2.369170057e+01 
9.704450052e-01 2.955499500e-02 6.405075332e-01 2.886720784e+01 
9.905362177e-01 9.463782740e-03 1.347069735e+00 3.077924277e+01 
9.969460172e-01 3.053983293e-03 1.642804841e+00 3.145956584e+01 
9.989727632e-01 1.027237282e-03 1.809364611e+00 3.174773038e+01 
9.996292248e-01 3.707756284e-04 1.915074169e+00 3.189282764e+01 
9.998533461e-01 1.466542406e-04 1.980874644e+00 3.197207540e+01 
9.999360692e-01 6.393111703e-05 2.018133040e+00 3.201429718e+01 
9.999696417e-01 3.035874842e-05 2.034300941e+00 3.203247943e+01 
9.999846003e-01 1.540029663e-05 2.034593125e+00 3.203366912e+01 
9.999918341e-01 8.166764243e-06 2.023020076e+00 3.202253008e+01 
9.999955279e-01 4.473294437e-06 2.002389995e+00 3.200212161e+01 
9.999974837e-01 2.517715339e-06 1.975537912e+00 3.197538686e+01 
9.999985577e-01 1.443942886e-06 1.944907033e+00 3.194482041e+01 
9.999991858e-01 8.159277832e-07 1.911761573e+00 3.191171262e+01 
9.999995488e-01 4.530505402e-07 1.876595256e+00 3.187656808e+01 
9.999997377e-01 2.641696694e-07 1.840233765e+00 3.184021791e+01 
9.999998116e-01 1.902031663e-07 1.803867087e+00 3.180385567e+01 
9.999998351e-01 1.666072580e-07 1.768496853e+00 3.176848685e+01 
9.999998478e-01 1.537592138e-07 1.734725230e+00 3.173471600e+01 
9.999998766e-01 1.248977142e-07 1.702923857e+00 3.170291636e+01 
9.999999189e-01 8.257090691e-08 1.673332847e+00 3.167332789e+01 
9.999999678e-01 3.371479425e-08 1.645946552e+00 3.164594453e+01 
1.000000010e+00 -8.061107864e-09 1.620716143e+00 3.162071663e+01 
1.000000044e+00 -4.242234124e-08 1.597809945e+00 3.159781250e+01 
1.000000067e+00 -6.550635351e-08 1.577630459e+00 3.157763440e+01 
1.000000083e+00 -8.126547453e-08 1.560558039e+00 3.156056293e+01 
1.000000091e+00 -8.844269515e-08 1.546935601e+00 3.154694092e+01 
1.000000095e+00 -9.258928791e-08 1.537008001e+00 3.153701356e+01 
1.000000095e+00 -9.289712676e-08 1.530982005e+00 3.153098758e+01 
9.999999058e-01 9.587475149e-08 1.533020328e+00 3.153301458e+01 
9.999999047e-01 9.663705980e-08 1.534888457e+00 3.153488266e+01 
9.999999057e-01 9.522748341e-08 1.540477315e+00 3.154047161e+01 
9.999999070e-01 9.351755926e-08 1.549746886e+00 3.154974129e+01 
9.999999140e-01 8.621001895e-08 1.562638783e+00 3.156263362e+01 
9.999999254e-01 7.450362121e-08 1.579071887e+00 3.157906743e+01 
9.999999460e-01 5.373679700e-08 1.598957922e+00 3.159895472e+01 
9.999999720e-01 2.769619542e-08 1.622200912e+00 3.162219927e+01 
1.000000005e+00 -4.953041519e-09 1.648649436e+00 3.164864975e+01 
1.000000033e+00 -3.384173443e-08 1.677884943e+00 3.167788698e+01 
1.000000048e+00 -4.812020056e-08 1.709219061e+00 3.170922196e+01 
1.000000025e+00 -2.502466173e-08 1.741969144e+00 3.174197065e+01 
9.999999563e-01 4.325446504e-08 1.775651279e+00 3.177564869e+01 
9.999998374e-01 1.622288276e-07 1.809832810e+00 3.180982308e+01 
9.999996761e-01 3.235200831e-07 1.844224524e+00 3.184420512e+01 
9.999994549e-01 5.448564252e-07 1.878729112e+00 3.187869643e+01 
9.999991144e-01 8.854335428e-07 1.913205887e+00 3.191315277e+01 
9.999984972e-01 1.502734863e-06 1.946667515e+00 3.194657735e+01 
9.999973572e-01 2.642916375e-06 1.977290894e+00 3.197713232e+01 
9.999952665e-01 4.733773300e-06 2.003147792e+00 3.200286376e+01 
9.999913865e-01 8.613736541e-06 2.022691143e+00 3.202217431e+01 
9.999838053e-01 1.619490081e-05 2.033502057e+00 3.203253035e+01 
9.999680717e-01 3.192821346e-05 2.032141902e+00 3.203022620e+01 
9.999327048e-01 6.729483376e-05 2.014520920e+00 3.201048322e+01 
9.998453905e-01 1.546085690e-04 1.975650252e+00 3.196637373e+01 
9.996085101e-01 3.914884726e-04 1.907695443e+00 3.188420613e+01 
9.989148464e-01 1.085151530e-03 1.799260189e+00 3.173415110e+01 
9.967768411e-01 3.223156346e-03 1.628869787e+00 3.143548041e+01 
9.900354809e-01 9.964516089e-03 1.324463637e+00 3.072659268e+01 
9.690013648e-01 3.099863161e-02 5.932214364e-01 2.873330353e+01 
9.074731720e-01 9.252682354e-02 -1.055780587e+00 2.339260996e+01 
7.553070237e-01 2.446929720e-01 -2.122019992e+00 1.319640161e+01 
4.994034421e-01 5.005965536e-01 3.819258834e+00 3.783465431e+00 
2.681875204e-01 7.318124740e-01 1.633917876e+01 2.430430037e+00 
1.411506247e-01 8.588493704e-01 2.569341512e+01 4.162452629e+00 
8.171391418e-02 9.182860821e-01 2.990324251e+01 4.806077366e+00 
5.310297165e-02 9.468970255e-01 3.133048961e+01 4.516667899e+00 
3.868974712e-02 9.613102507e-01 3.159447971e+01 3.915864526e+00 
3.190188311e-02 9.680981155e-01 3.134623339e+01 3.260346368e+00 
2.997716043e-02 9.700228390e-01 3.086759567e+01 2.666225286e+00 
3.168671360e-02 9.683132867e-01 3.031418874e+01 2.215391546e+00 
3.674184183e-02 9.632581594e-01 2.976380982e+01 1.968320323e+00 
4.589088867e-02 9.541091133e-01 2.919756168e+01 1.951015002e+00 
6.140785490e-02 9.385921478e-01 2.845864697e+01 2.143118263e+00 
8.804991321e-02 9.119500901e-01 2.717809613e+01 2.461090916e+00 
1.347216008e-01 8.652784029e-01 2.467181904e+01 2.755115079e+00 
2.161155900e-01 7.838844141e-01 2.002723011e+01 2.994165484e+00 
3.480550423e-01 6.519449622e-01 1.310925285e+01 3.992555325e+00 
5.228206784e-01 4.771793261e-01 6.264055541e+00 7.633296159e+00 
6.886648347e-01 3.113351692e-01 2.557188880e+00 1.387707886e+01 
8.002133121e-01 1.997866914e-01 1.570894670e+00 1.958369327e+01 
8.570645989e-01 1.429354043e-01 1.390163814e+00 2.281403962e+01 
8.745784583e-01 1.254215444e-01 1.292410543e+00 2.376711793e+01 
8.603224168e-01 1.396775853e-01 1.255801206e+00 2.287514613e+01 
