1 192 192
8.560244927e-01 1.439755085e-01 3.598073877e+01 1.071856368e+02 
8.535349460e-01 1.464650550e-01 3.618539795e+01 1.068923866e+02 
8.459252345e-01 1.540747663e-01 3.677756115e+01 1.059626076e+02 
8.327737901e-01 1.672262112e-01 3.769794964e+01 1.042527072e+02 
8.133916695e-01 1.866083329e-01 3.886935800e+01 1.015476913e+02 
7.868729523e-01 2.131270510e-01 4.023201363e+01 9.760660346e+01 
7.522249936e-01 2.477750101e-01 4.179542322e+01 9.224042133e+01 
7.086268775e-01 2.913731266e-01 4.369732157e+01 8.542269649e+01 
6.558344950e-01 3.441655099e-01 4.623878533e+01 7.740568378e+01 
5.946570805e-01 4.053429251e-01 4.984311397e+01 6.877452958e+01 
5.272876541e-01 4.727123521e-01 5.490069098e+01 6.035822138e+01 
4.571963260e-01 5.428036807e-01 6.154300995e+01 5.298227480e+01 
3.884595141e-01 6.115404931e-01 6.948813838e+01 4.718004088e+01 
3.247757321e-01 6.752242755e-01 7.809132691e+01 4.304647303e+01 
2.686698192e-01 7.313301886e-01 8.658142186e+01 4.031538541e+01 
2.212316654e-01 7.787683420e-01 9.432105561e+01 3.856738843e+01 
1.823507675e-01 8.176492390e-01 1.009452562e+02 3.741540946e+01 
1.511721065e-01 8.488278990e-01 1.063557208e+02 3.659014202e+01 
1.265237193e-01 8.734762854e-01 1.106357304e+02 3.594047415e+01 
1.072055741e-01 8.927944299e-01 1.139560972e+02 3.539721198e+01 
9.213915537e-02 9.078608478e-01 1.165075153e+02 3.493534635e+01 
8.042075840e-02 9.195792440e-01 1.184639736e+02 3.454812522e+01 
7.132232675e-02 9.286776751e-01 1.199686653e+02 3.423313069e+01 
6.426989950e-02 9.357301019e-01 1.211324925e+02 3.398647239e+01 
5.881620558e-02 9.411837954e-01 1.220381573e+02 3.380139842e+01 
5.461490541e-02 9.453850952e-01 1.227458953e+02 3.366887633e+01 
5.139905473e-02 9.486009455e-01 1.232989758e+02 3.357878671e+01 
4.896409187e-02 9.510359080e-01 1.237282575e+02 3.352107590e+01 
4.715480147e-02 9.528451982e-01 1.240556561e+02 3.348661637e+01 
4.585552086e-02 9.541444785e-01 1.242966279e+02 3.346773202e+01 
4.498292887e-02 9.550170703e-01 1.244618591e+02 3.345844490e+01 
4.448090396e-02 9.555190950e-01 1.245583543e+02 3.345453505e+01 
4.431708607e-02 9.556829127e-01 1.245900893e+02 3.345350653e+01 
4.448090303e-02 9.555190956e-01 1.245583544e+02 3.345453504e+01 
4.498292695e-02 9.550170715e-01 1.244618595e+02 3.345844488e+01 
4.585551783e-02 9.541444806e-01 1.242966284e+02 3.346773198e+01 
4.715479713e-02 9.528452012e-01 1.240556569e+02 3.348661629e+01 
4.896408595e-02 9.510359124e-01 1.237282586e+02 3.352107577e+01 
5.139904684e-02 9.486009515e-01 1.232989771e+02 3.357878650e+01 
5.461489506e-02 9.453851033e-01 1.227458970e+02 3.366887602e+01 
5.881619211e-02 9.411838064e-01 1.220381595e+02 3.380139797e+01 
6.426988206e-02 9.357301165e-01 1.211324953e+02 3.398647179e+01 
7.132230422e-02 9.286776945e-01 1.199686690e+02 3.423312990e+01 
8.042072936e-02 9.195792697e-01 1.184639783e+02 3.454812424e+01 
9.213911800e-02 9.078608815e-01 1.165075215e+02 3.493534516e+01 
1.072055261e-01 8.927944740e-01 1.139561054e+02 3.539721058e+01 
1.265236579e-01 8.734763427e-01 1.106357409e+02 3.594047250e+01 
1.511720284e-01 8.488279727e-01 1.063557343e+02 3.659014000e+01 
1.823506692e-01 8.176493326e-01 1.009452730e+02 3.741540680e+01 
2.212315439e-01 7.787684586e-01 9.432107581e+01 3.856738454e+01 
2.686696729e-01 7.313303298e-01 8.658144481e+01 4.031537936e+01 
3.247755620e-01 6.752244401e-01 7.809135118e+01 4.304646364e+01 
3.884593253e-01 6.115406763e-01 6.948816191e+01 4.718002708e+01 
4.571961274e-01 5.428038735e-01 6.154303062e+01 5.298225626e+01 
5.272874569e-01 4.727125433e-01 5.490070741e+01 6.035819900e+01 
5.946568959e-01 4.053431036e-01 4.984312598e+01 6.877450538e+01 
6.558343309e-01 3.441656677e-01 4.623879375e+01 7.740566021e+01 
7.086267383e-01 2.913732596e-01 4.369732764e+01 8.542267560e+01 
7.522248799e-01 2.477751175e-01 4.179542800e+01 9.224040430e+01 
7.868728624e-01 2.131271346e-01 4.023201772e+01 9.760659056e+01 
8.133916007e-01 1.866083953e-01 3.886936159e+01 1.015476822e+02 
8.327737397e-01 1.672262551e-01 3.769795262e+01 1.042527011e+02 
8.459252004e-01 1.540747939e-01 3.677756331e+01 1.059626040e+02 
8.535349265e-01 1.464650679e-01 3.618539910e+01 1.068923850e+02 
8.560244872e-01 1.439755074e-01 3.598073878e+01 1.071856368e+02 
8.535349405e-01 1.464650538e-01 3.618539796e+01 1.068923867e+02 
8.459252290e-01 1.540747650e-01 3.677756115e+01 1.059626076e+02 
8.327737847e-01 1.672262098e-01 3.769794965e+01 1.042527072e+02 
8.133916643e-01 1.866083314e-01 3.886935801e+01 1.015476914e+02 
7.868729473e-01 2.131270493e-01 4.023201364e+01 9.760660352e+01 
7.522249888e-01 2.477750081e-01 4.179542323e+01 9.224042140e+01 
7.086268730e-01 2.913731243e-01 4.369732157e+01 8.542269656e+01 
6.558344909e-01 3.441655072e-01 4.623878534e+01 7.740568385e+01 
5.946570769e-01 4.053429220e-01 4.984311398e+01 6.877452965e+01 
5.272876509e-01 4.727123486e-01 5.490069098e+01 6.035822143e+01 
4.571963233e-01 5.428036767e-01 6.154300994e+01 5.298227484e+01 
3.884595118e-01 6.115404888e-01 6.948813837e+01 4.718004091e+01 
3.247757303e-01 6.752242709e-01 7.809132689e+01 4.304647305e+01 
2.686698178e-01 7.313301838e-01 8.658142185e+01 4.031538542e+01 
2.212316642e-01 7.787683371e-01 9.432105560e+01 3.856738844e+01 
1.823507665e-01 8.176492340e-01 1.009452562e+02 3.741540947e+01 
1.511721058e-01 8.488278939e-01 1.063557208e+02 3.659014202e+01 
1.265237187e-01 8.734762803e-01 1.106357304e+02 3.594047415e+01 
1.072055736e-01 8.927944248e-01 1.139560972e+02 3.539721198e+01 
9.213915495e-02 9.078608427e-01 1.165075153e+02 3.493534635e+01 
8.042075805e-02 9.195792390e-01 1.184639735e+02 3.454812522e+01 
7.132232645e-02 9.286776701e-01 1.199686653e+02 3.423313069e+01 
6.426989925e-02 9.357300970e-01 1.211324925e+02 3.398647239e+01 
