1 192 192
8.558662778e-01 1.441337252e-01 1.066089742e+01 8.183415255e+01 
8.555904023e-01 1.444096003e-01 1.068483126e+01 8.180291133e+01 
8.547610329e-01 1.452389687e-01 1.075634523e+01 8.170855152e+01 
8.533729400e-01 1.466270600e-01 1.087458496e+01 8.154917283e+01 
8.514174072e-01 1.485825910e-01 1.103815411e+01 8.132163560e+01 
8.488822344e-01 1.511177623e-01 1.124515638e+01 8.102160347e+01 
8.457517508e-01 1.542482447e-01 1.149325548e+01 8.064360598e+01 
8.420068477e-01 1.579931472e-01 1.177975416e+01 8.018112411e+01 
8.376250409e-01 1.623749542e-01 1.210169365e+01 7.962670224e+01 
8.325805793e-01 1.674194165e-01 1.245597503e+01 7.897209124e+01 
8.268446158e-01 1.731553809e-01 1.283950404e+01 7.820842748e+01 
8.203854629e-01 1.796145345e-01 1.324936054e+01 7.732645336e+01 
8.131689547e-01 1.868310431e-01 1.368299329e+01 7.631678445e+01 
8.051589413e-01 1.948410564e-01 1.413843937e+01 7.517022787e+01 
7.963179425e-01 2.036820549e-01 1.461456581e+01 7.387815462e+01 
7.866079865e-01 2.133920109e-01 1.511132827e+01 7.243292589e+01 
7.759916558e-01 2.240083426e-01 1.563003773e+01 7.082836914e+01 
7.644333597e-01 2.355666413e-01 1.617362199e+01 6.906029395e+01 
7.519008388e-01 2.480991666e-01 1.674686346e+01 6.712703082e+01 
7.383668869e-01 2.616331115e-01 1.735660289e+01 6.502998055e+01 
7.238113184e-01 2.761886812e-01 1.801180765e+01 6.277407152e+01 
7.082230067e-01 2.917769944e-01 1.872364099e+01 6.036824238e+01 
6.916020686e-01 3.083979337e-01 1.950529727e+01 5.782571092e+01 
6.739619850e-01 3.260380180e-01 2.037171365e+01 5.516411052e+01 
6.553315600e-01 3.446684430e-01 2.133908942e+01 5.240540130e+01 
6.357565553e-01 3.642434473e-01 2.242421562e+01 4.957552660e+01 
6.153008302e-01 3.846991715e-01 2.364362897e+01 4.670379502e+01 
5.940468226e-01 4.059531783e-01 2.501262771e+01 4.382199233e+01 
5.720952268e-01 4.279047733e-01 2.654420991e+01 4.096325544e+01 
5.495637728e-01 4.504362268e-01 2.824801607e+01 3.816077086e+01 
5.265850759e-01 4.734149235e-01 3.012937104e+01 3.544638648e+01 
5.033036056e-01 4.966963936e-01 3.218852288e+01 3.284924428e+01 
4.798719100e-01 5.201280893e-01 3.442016555e+01 3.039454783e+01 
4.564463080e-01 5.435536913e-01 3.681330808e+01 2.810256997e+01 
4.331823240e-01 5.668176754e-01 3.935151843e+01 2.598798351e+01 
4.102301650e-01 5.897698348e-01 4.201352981e+01 2.405956304e+01 
3.877305385e-01 6.122694617e-01 4.477415798e+01 2.232026587e+01 
3.658110692e-01 6.341889316e-01 4.760544617e+01 2.076766014e+01 
3.445835044e-01 6.554164972e-01 5.047793376e+01 1.939463469e+01 
3.241418197e-01 6.758581828e-01 5.336193997e+01 1.819030386e+01 
3.045612486e-01 6.954387546e-01 5.622876166e+01 1.714101125e+01 
2.858981848e-01 7.141018192e-01 5.905170439e+01 1.623134111e+01 
2.681908430e-01 7.318091615e-01 6.180689186e+01 1.544506018e+01 
2.514605305e-01 7.485394742e-01 6.447382758e+01 1.476593337e+01 
