lx,ly,lz,alpha,beta,gamma,freeE,MaxComp,phase,ksi,tau,cal_type,bridge
1.0,1.751041,1.751041,0.0,0.0,0.0,11.74489901,5.757107478e-10,C4,0.46,0.13,cpu,0
1.0,1.751041,1.851041,0.0,0.0,0.0,11.7257179,1.47319879e-09,C4,0.46,0.13,cpu,0
1.0,1.751041,1.951041,0.0,0.0,0.0,11.71029985,1.749671532e-09,C4,0.46,0.13,cpu,0
1.0,1.751041,2.051041,0.0,0.0,0.0,11.6987506,1.406609239e-09,C4,0.46,0.13,cpu,0
1.0,1.751041,2.151041,0.0,0.0,0.0,11.69121492,7.583907052e-10,C4,0.46,0.13,cpu,0
1.0,1.751041,2.251041,0.0,0.0,0.0,11.68778414,1.540068742e-09,C4,0.46,0.13,cpu,0
1.0,1.751041,2.351041,0.0,0.0,0.0,11.68843577,1.375709582e-09,C4,0.46,0.13,cpu,0
1.0,1.851041,1.751041,0.0,0.0,0.0,11.7257179,8.559347132e-10,C4,0.46,0.13,cpu,0
1.0,1.851041,1.851041,0.0,0.0,0.0,11.71079469,1.031868184e-09,C4,0.46,0.13,cpu,0
1.0,1.851041,1.951041,0.0,0.0,0.0,11.69938234,8.917466647e-10,C4,0.46,0.13,cpu,0
1.0,1.851041,2.051041,0.0,0.0,0.0,11.69149552,1.363840177e-09,C4,0.46,0.13,cpu,0
1.0,1.851041,2.151041,0.0,0.0,0.0,11.68722463,1.034073565e-09,C4,0.46,0.13,cpu,0
1.0,1.851041,2.251041,0.0,0.0,0.0,11.68663277,8.851271779e-10,C4,0.46,0.13,cpu,0
1.0,1.851041,2.351041,0.0,0.0,0.0,11.68968512,1.868612804e-09,C4,0.46,0.13,cpu,0
1.0,1.951041,1.751041,0.0,0.0,0.0,11.71029985,2.048181992e-09,C4,0.46,0.13,cpu,0
1.0,1.951041,1.851041,0.0,0.0,0.0,11.69938234,7.580629079e-10,C4,0.46,0.13,cpu,0
1.0,1.951041,1.951041,0.0,0.0,0.0,11.69171449,1.174911334e-09,C4,0.46,0.13,cpu,0
1.0,1.951041,2.051041,0.0,0.0,0.0,11.68722598,1.972730186e-09,C4,0.46,0.13,cpu,0
1.0,1.951041,2.151041,0.0,0.0,0.0,11.68595578,1.237753099e-09,C4,0.46,0.13,cpu,0
1.0,1.951041,2.251041,0.0,0.0,0.0,11.68794,1.335990998e-09,C4,0.46,0.13,cpu,0
1.0,1.951041,2.351041,0.0,0.0,0.0,11.69313196,1.631914655e-09,C4,0.46,0.13,cpu,0
1.0,2.051041,1.751041,0.0,0.0,0.0,11.6987506,1.207453905e-09,C4,0.46,0.13,cpu,0
1.0,2.051041,1.851041,0.0,0.0,0.0,11.69149552,1.232973105e-09,C4,0.46,0.13,cpu,0
1.0,2.051041,1.951041,0.0,0.0,0.0,11.68722598,1.427934278e-09,C4,0.46,0.13,cpu,0
1.0,2.051041,2.051041,0.0,0.0,0.0,11.68579359,1.889282794e-09,C4,0.46,0.13,cpu,0
